src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,MALICIOUS,DNS,LDAP,MSSQL,NTP,NetBIOS,Portmap,SNMP,SSDP,Syn,TFTP,UDP,UDPLag,WebDDoS
10.20.99.60,63.32.147.35,61622,443,6,2021-04-12 22:38:31,211764.09721374512,571.3905312186516,9.444471590390936,4.722235795195468,4.722235795195468,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,5211,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66,1.0,0.026686858,0.0461603,0.029713634,0.030245855,0.021026704,3.1127872e-08,0.23317629,0.48437786,6.539852e-05,0.039959498,0.08726384,0.0013194703,4.135431e-06
10.20.99.60,104.16.53.111,61647,443,6,2021-04-12 22:38:31,5293.846130371094,22856.72779679337,377.7971536660061,188.89857683300306,188.89857683300306,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,257,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66,1.0,0.0284847,0.045745347,0.030808384,0.030797102,0.021560002,2.9701512e-08,0.21224219,0.50776494,6.136928e-05,0.040709615,0.080691524,0.0011308128,3.9379083e-06
10.20.99.60,172.217.25.3,61697,443,6,2021-04-12 22:38:33,22399.90234375,5401.809264305177,89.28610354223433,44.643051771117165,44.643051771117165,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,255,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66,1.0,0.028427178,0.045732692,0.030786071,0.0307769,0.021523226,2.9744383e-08,0.21240373,0.5078852,6.1323786e-05,0.04057836,0.08069194,0.0011293509,3.943577e-06
10.20.96.191,224.0.0.252,57514,5355,17,2021-04-12 22:38:34,382218.1224822998,334.8873129529005,5.2326142648890706,5.2326142648890706,0.0,2,0,128,0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,64,64,64.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0,2,0,128,0,,,,,,,,,,,,,,
10.20.96.191,224.0.0.252,52313,5355,17,2021-04-12 22:38:34,361109.97200012207,354.46265660023573,5.538479009378683,5.538479009378683,0.0,2,0,128,0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,64,64,64.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0,2,0,128,0,,,,,,,,,,,,,,
10.20.96.191,224.0.0.252,55102,5355,17,2021-04-12 22:38:34,366761.9228363037,349.0002424737261,5.45312878865197,5.45312878865197,0.0,2,0,128,0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,64,64,64.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0,2,0,128,0,,,,,,,,,,,,,,
10.20.96.191,224.0.0.252,53656,5355,17,2021-04-12 22:38:34,328476.1905670166,389.67816747705825,6.088721366829035,6.088721366829035,0.0,2,0,128,0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,64,64,64.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0,2,0,128,0,,,,,,,,,,,,,,
10.20.96.191,224.0.0.252,63034,5355,17,2021-04-12 22:38:34,317647.21870422363,402.96276014047794,6.296293127194968,6.296293127194968,0.0,2,0,128,0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,64,64,64.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0,2,0,128,0,,,,,,,,,,,,,,
10.20.96.191,224.0.0.251,5353,5353,17,2021-04-12 22:38:31,4478487.014770508,99.14062462069056,1.3397381705498725,1.3397381705498725,0.0,6,0,444,0,82.0,70.0,74.0,5.656854249492381,0.0,0.0,0.0,0.0,82,70,74.0,5.656854249492381,32.0,48,0,8,6,895697.4029541016,3486356.9736480713,0.0,1351120.5714693444,4478487.014770508,3486356.9736480713,0.0,895697.4029541016,1351120.5714693444,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,74.0,0,0,3486356.019973755,0.95367431640625,1743178.4868240356,1743177.5331497192,3486356.019973755,992127.1800994873,2239241.600036621,1247114.4199371338,112.0,4.0,0.0,0.0,112.88853579333913,0.0,74.0,0.0,0,6,0,444,0,,,,,,,,,,,,,,
10.20.96.191,10.20.103.255,137,137,17,2021-04-12 22:38:34,8237465.858459473,201.03269967418066,2.1851380399367466,2.1851380399367466,0.0,18,0,1656,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,144,0,8,18,484556.8152034984,5169644.832611084,0.0,1208932.5693681254,8237465.858459473,5169644.832611084,0.0,484556.8152034984,1208932.5693681254,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,734974.1458892822,52.21366882324219,277783.29849243164,340946.7923256689,5159678.69758606,9912.967681884766,936824.3898664202,1747563.3089211637,750.0,15.0,0.0,0.0,481.683496166947,0.0,92.0,0.0,0,18,0,1656,0,,,,,,,,,,,,,,
